"QMA","Year","Season","Commercial","Recreational","Illegal","Customary"
"CRA2",1945,1,54.8786866771102,0.823606093433348,10.975737335422,0.5
"CRA2",1945,2,81.8833133228898,7.41245484090013,16.376662664578,4.5
"CRA2",1946,1,46.9078305024848,0.907131548869951,9.38156610049697,0.5
"CRA2",1946,2,69.9901694975152,8.16418393982956,13.998033899503,4.5
"CRA2",1947,1,52.0449076645647,0.990657004306554,10.4089815329129,0.5
"CRA2",1947,2,77.6550923354353,8.91591303875899,15.5310184670871,4.5
"CRA2",1948,1,85.1722738723966,1.07418245974316,17.0344547744793,0.5
"CRA2",1948,2,127.083726127603,9.66764213768842,25.4167452255207,4.5
"CRA2",1949,1,79.5456455356771,1.15770791517976,15.9091291071354,0.5
"CRA2",1949,2,118.688354464323,10.4193712366178,23.7376708928646,4.5
"CRA2",1950,1,83.9082687903351,1.24123337061636,16.781653758067,0.5
"CRA2",1950,2,125.197731209665,11.1711003355473,25.039546241933,4.5
"CRA2",1951,1,76.7323313673173,1.32475882605297,15.3464662734635,0.5
"CRA2",1951,2,114.490668632683,11.9228294344767,22.8981337265365,4.5
"CRA2",1952,1,71.7790365314546,1.40828428148957,14.3558073062909,0.5
"CRA2",1952,2,107.099963468545,12.6745585334061,21.4199926937091,4.5
"CRA2",1953,1,76.610344845112,1.49180973692617,15.3220689690224,0.5
"CRA2",1953,2,114.308655154888,13.4262876323356,22.8617310309776,4.5
"CRA2",1954,1,60.1586164770358,1.57533519236278,12.0317232954072,0.5
"CRA2",1954,2,89.7613835229642,14.178016731265,17.9522767045928,4.5
"CRA2",1955,1,62.2580687276217,1.65886064779938,12.4516137455243,0.5
"CRA2",1955,2,92.8939312723782,14.9297458301944,18.5787862544756,4.5
"CRA2",1956,1,64.1745411948998,1.74238610323598,12.83490823898,0.5
"CRA2",1956,2,95.7534588051002,15.6814749291238,19.15069176102,4.5
"CRA2",1957,1,50.5678274400985,1.82591155867259,10.1135654880197,0.5
"CRA2",1957,2,75.4511725599015,16.4332040280533,15.0902345119803,4.5
"CRA2",1958,1,62.1970754665191,1.90943701410919,12.4394150933038,0.5
"CRA2",1958,2,92.8029245334809,17.1849331269827,18.5605849066962,4.5
"CRA2",1959,1,77.1809528535855,1.99296246954579,15.4361905707171,0.5
"CRA2",1959,2,115.160047146415,17.9366622259121,23.0320094292829,4.5
"CRA2",1960,1,67.0287850516311,2.07648792498239,13.4057570103262,0.5
"CRA2",1960,2,100.012214948369,18.6883913248416,20.0024429896738,4.5
"CRA2",1961,1,79.8104846957281,2.160013380419,15.9620969391456,0.5
"CRA2",1961,2,119.083515304272,19.440120423771,23.8167030608544,4.5
"CRA2",1962,1,81.5231112640578,2.2435388358556,16.3046222528116,0.5
"CRA2",1962,2,149.341873404363,20.1918495227004,29.8683746808726,4.5
"CRA2",1963,1,101.405243581602,2.3270642912922,20.2810487163204,0.5
"CRA2",1963,2,139.789077383652,20.9435786216298,27.9578154767305,4.5
"CRA2",1964,1,118.23958994829,2.41058974672881,23.647917989658,0.5
"CRA2",1964,2,142.828177447156,21.6953077205593,28.5656354894312,4.5
"CRA2",1965,1,104.266987208564,2.49411520216541,20.8533974417128,0.5
"CRA2",1965,2,158.123922707067,22.4470368194887,31.6247845414134,4.5
"CRA2",1966,1,113.427379116393,2.57764065760201,22.6854758232786,0.5
"CRA2",1966,2,182.438084006169,23.1987659184181,36.4876168012338,4.5
"CRA2",1967,1,118.242311530436,2.66116611303862,23.6484623060873,0.5
"CRA2",1967,2,217.413589766851,23.9504950173476,43.4827179533702,4.5
"CRA2",1968,1,103.450512564638,2.74469156847522,20.6901025129275,0.5
"CRA2",1968,2,216.095890410959,24.702224116277,43.2191780821918,4.5
"CRA2",1969,1,106.694638483172,2.82821702391182,21.3389276966343,0.5
"CRA2",1969,2,157.343735825093,25.4539532152064,31.4687471650186,4.5
"CRA2",1970,1,62.2199038374308,2.91174247934843,12.4439807674862,0.5
"CRA2",1970,2,143.89367685748,26.2056823141358,28.778735371496,4.5
"CRA2",1971,1,56.2682572802322,2.99526793478503,11.2536514560464,0.5
"CRA2",1971,2,122.184976866552,26.9574114130653,24.4369953733104,4.5
"CRA2",1972,1,65.7402703438266,3.07879339022163,13.1480540687653,0.5
"CRA2",1972,2,138.085366959993,27.7091405119947,27.6170733919985,4.5
"CRA2",1973,1,47.0189603556201,3.16231884565824,9.40379207112401,0.5
"CRA2",1973,2,90.4862560101606,28.4608696109241,18.0972512020321,4.5
"CRA2",1974,1,51.9600380832844,3.24584430109484,10.3920076166569,0.5
"CRA2",1974,2,103.039961916716,29.2125987098535,20.6079923833431,4.5
"CRA2",1975,1,46.2611951967307,3.32936975653144,9.25223903934613,0.5
"CRA2",1975,2,91.7388048032693,29.964327808783,18.3477609606539,4.5
"CRA2",1976,1,48.272551509632,3.41289521196805,9.6545103019264,0.5
"CRA2",1976,2,95.727448490368,30.7160569077124,19.1454896980736,4.5
"CRA2",1977,1,66.7099843778942,3.49642066740465,13.3419968755788,0.5
"CRA2",1977,2,132.290015622106,31.4677860066418,26.4580031244212,4.5
"CRA2",1978,1,80.4180481024211,3.57994612284125,16.0836096204842,0.5
"CRA2",1978,2,159.473951897579,32.2195151055713,31.8947903795158,4.5
"CRA2",1979,1,86.364,3.66347157827785,17.2728,0.5
